
Bloc|Phase|Objet de la phase|Livrables produits par le prompt|Sections du document final alimentées|Ce que tu valides à cette étape|Points à discuter / inconnues|
Bloc 1 — Fondation Lugia|P1|Nature exacte du document|Charte du document, usages visés, niveau de confidentialité, version interne / version client, niveau de détail attendu|Couverture, 0. Résumé exécutif, 1. Fondation Lugia, Annexe 11, Annexe 12|À quoi sert exactement le document, pour qui, et à quel niveau de révélation|Usage principal du document, lecteur prioritaire, version unique ou plusieurs versions|
Bloc 1 — Fondation Lugia|P2|Genèse et constat de départ|Récit de départ, constats de terrain, problèmes observés, limites des approches existantes, point de départ de Lugia|1. Fondation Lugia, 0. Résumé exécutif|Pourquoi Lugia existe, d’où vient le projet, et sur quel constat il repose|Éléments personnels ou professionnels à garder, niveau de détail, formulation la plus juste|
Bloc 1 — Fondation Lugia|P3|Raison d’être, vision et mission|Raison d’être, vision, mission, finalité du projet, articulation entre ambition et action concrète|1. Fondation Lugia, 21. Conclusion stratégique|Ce que Lugia cherche profondément à rendre possible, et comment elle agit concrètement|Niveau d’ambition affiché, équilibre entre profondeur et clarté, mots exacts à employer|
Bloc 1 — Fondation Lugia|P4|Ce qu’est Lugia aujourd’hui|Définition courte, définition longue, formule de présentation, ce que Lugia n’est pas, périmètre réel actuel|1. Fondation Lugia, 5. Offre Lugia|Identité réelle de Lugia aujourd’hui, cohérence du discours, limites de présentation|Frontière exacte entre conseil, méthode, transformation, technologie et vision|
Bloc 1 — Fondation Lugia|P5|Principes et garde-fous|Principes fondateurs, non-négociables, règles de prudence, règles de cohérence, erreurs à éviter|1. Fondation Lugia, 21. Conclusion stratégique, Annexe 10|Les règles structurantes à ne jamais oublier dans le développement de Lugia|Niveau de prudence commerciale, missions à éviter, niveau de personnalisation acceptable|
Bloc 1 — Fondation Lugia|P6|Trajectoire de développement|Trajectoire à 1 an, 3 ans, 10 ans, éléments mûrs, éléments non mûrs, éléments à ne pas promettre trop tôt|1. Fondation Lugia, 19. Actif stratégique Lugia, 20. Feuille de route de développement, Annexe 11|Ce qui existe maintenant, ce qui vient ensuite, et ce qui relève encore de la vision|Ordre réel de développement, degré de maturité des offres futures, place de la recherche|
Bloc 2 — Marché, secteurs et priorités|P7|Lecture générale du marché|Vue d’ensemble du contexte économique, transformations des entreprises, grandes tensions du marché, besoins de structuration|2. Marché, secteurs et priorités, 0. Résumé exécutif|Le cadre général dans lequel Lugia s’inscrit|Niveau de profondeur attendu sur le marché, périmètre géographique, priorité France ou Europe|
Bloc 2 — Marché, secteurs et priorités|P8|Lecture du marché par secteur|Matrice sectorielle, potentiel par secteur, niveau d’urgence, maturité, intensité d’investissement, besoins dominants|2. Marché, secteurs et priorités, 3. Typologie et priorisation des clients|Les secteurs où Lugia a le plus de potentiel réel|Secteurs à étudier en priorité, secteurs exclus, niveau de détail attendu|
Bloc 2 — Marché, secteurs et priorités|P9|Déclencheurs d’achat|Typologie des raisons d’achat : croissance, compétitivité, conformité, désorganisation, savoir, qualité, modernisation|3. Typologie et priorisation des clients, 6. Approche client|Pourquoi les clients achèteront réellement|Quels déclencheurs sont les plus probables selon les secteurs visés|
Bloc 2 — Marché, secteurs et priorités|P10|Classement des clients|Grille de classement, critères de priorité, score des segments, cibles prioritaires, cibles secondaires, cibles à éviter|3. Typologie et priorisation des clients, 0. Résumé exécutif, 21. Conclusion stratégique, Annexe 10|Quelles cibles attaquer d’abord|Critères exacts de classement, poids donné à la rentabilité, à la vitesse de vente et à l’intérêt stratégique|
Bloc 2 — Marché, secteurs et priorités|P11|Concurrence et alternatives|Carte concurrentielle, concurrents directs et indirects, alternatives internes chez les clients, différenciation visible et différenciation à protéger|4. Concurrence et positionnement, 6. Approche client|Où se place Lugia et comment éviter la confusion de marché|Quels concurrents regarder vraiment, niveau de détail public acceptable sur la différenciation|
Bloc 3 — Offre et approche client|P12|Architecture de l’offre|Offre cœur, offres d’entrée, options, offres avancées, éléments non révélés, limites de l’offre|5. Offre Lugia, 0. Résumé exécutif, Annexe 11|Ce que Lugia vend exactement aujourd’hui|Ce qui est déjà vendable, ce qui doit encore être travaillé, ce qui doit rester hors version client|
Bloc 3 — Offre et approche client|P13|Livrables remis au client|Liste des livrables par mission, niveau de détail, ce qui est remis, ce qui reste interne, niveau de personnalisation|5. Offre Lugia, 14. Réalisation, planning et soutenabilité|Ce que le client reçoit concrètement|Forme des livrables, niveau de finition attendu, équilibre entre standardisation et sur-mesure|
Bloc 3 — Offre et approche client|P14|Promesse et messages|Promesse centrale, bénéfices visibles, pertes évitées, formulations par type de client, réponses aux objections|5. Offre Lugia, 6. Approche client|Comment parler de Lugia de façon claire, forte et crédible|Vocabulaire exact, niveau de sophistication du discours, adaptation selon le profil du dirigeant|
Bloc 3 — Offre et approche client|P15|Entrée chez le client|Portes d’entrée, offre d’ouverture, diagnostic d’entrée, séquence de conversion, logique de montée en gamme|6. Approche client, 14. Réalisation, planning et soutenabilité|Comment Lugia entre dans la relation commerciale|Format du premier échange, meilleure mission d’ouverture, niveau de diagnostic offert ou payant|
Bloc 3 — Offre et approche client|P16|Logique de prix|Principes de prix, hypothèses par type de mission, justification des écarts, lien entre intensité de mission et prix|5. Offre Lugia, 15. Organisation économique de Lugia, Annexe 6|La cohérence entre valeur apportée, temps mobilisé et prix|Zone de prix acceptable, écart entre prix cible et prix de lancement, politique de remise ou non|
Bloc 4 — Méthode Lugia|P17|Savoirs à recueillir chez le client|Typologie des savoirs, processus à observer, dépendances, points de rupture, savoirs écrits et non écrits|7. Méthode Lugia, Annexe 1|Ce qu’il faut comprendre chez le client pour agir utilement|Niveau de finesse du recueil, métiers à observer en priorité, types de savoir les plus stratégiques|
Bloc 4 — Méthode Lugia|P18|Méthodes de recueil sur le terrain|Guide d’entretien, méthode d’observation du travail réel, analyse documentaire, relevé des irritants, relevé des décisions et exceptions|7. Méthode Lugia, 14. Réalisation, planning et soutenabilité, Annexe 1|Comment Lugia recueille le réel du travail|Méthodes réellement faisables, place de l’observation sur site, niveau d’intrusion acceptable|
Bloc 4 — Méthode Lugia|P19|Formalisation du savoir recueilli|Grille de formalisation, cartes de flux, fiches de rôles, fiches de constats, structure des comptes rendus|7. Méthode Lugia, 8. Modèles de fonctionnement, Annexe 2|Comment le matériau brut devient exploitable|Forme des modèles de fonctionnement, niveau de détail, support final|
Bloc 4 — Méthode Lugia|P20|Passage du constat à l’action|Méthode de hiérarchisation, priorisation des actions, structure de recommandation, logique de restitution|7. Méthode Lugia, 14. Réalisation, planning et soutenabilité, Annexe 2|Comment Lugia transforme l’analyse en action concrète|Ordre des recommandations, forme de la restitution, niveau d’accompagnement après diagnostic|
Bloc 4 — Méthode Lugia|P21|Maquettes de modèles de fonctionnement|Modèle de fonctionnement avant, irritants, modèle restructuré, modèle appuyé par la technologie, premières maquettes visuelles|8. Modèles de fonctionnement, Annexe 2|À quoi ressemble concrètement un premier modèle de fonctionnement|Quel flux choisir pour la première démonstration, niveau de détail du schéma, place de l’humain et de la technologie|
Bloc 4 — Méthode Lugia|P22|Capitalisation pour Lugia|Bibliothèque interne, motifs récurrents, cadres réutilisables, règles de protection, premiers actifs méthodologiques|7. Méthode Lugia, 19. Actif stratégique Lugia, Annexe 10|Ce que Lugia garde et transforme en actif interne|Ce qui peut être réutilisé, ce qui doit rester confidentiel, niveau de formalisation interne|
Bloc 5 — Outils, données et cadre d’intervention|P23|Diagnostic des outils du client|Grille de diagnostic des outils, suites bureautiques, outils métier, outils d’intelligence artificielle déjà présents, contraintes d’usage|9. Diagnostic technologique des clients, 10. Modèles d’intelligence artificielle, coûts et usage, Annexe 1, Annexe 3|Comment l’environnement technique du client conditionne l’action|Socle technique encore incertain, outils à prévoir dans le diagnostic, niveau de détail du questionnaire|
Bloc 5 — Outils, données et cadre d’intervention|P24|Diagnostic de la donnée|Grille de maturité de la donnée, dispersion, qualité, sources de référence, niveau d’organisation documentaire|11. Donnée, structuration, confidentialité, conformité, Annexe 1, Annexe 4|Si la donnée permet d’agir proprement ou non|Méthode d’évaluation simple, cas fréquents attendus, niveau d’exigence minimal|
Bloc 5 — Outils, données et cadre d’intervention|P25|Plan d’action sur la donnée|Règles de nommage, classement, accès, priorités de nettoyage, gouvernance simple, plan de remise en ordre|11. Donnée, structuration, confidentialité, conformité, 14. Réalisation, planning et soutenabilité, Annexe 4|Que proposer quand les données sont mal organisées|Ordre des actions, niveau d’ambition réaliste, ce qui peut être fait vite ou non|
